"","15-16QA","16-16QA","35-4QA","37-4QA","38-8aQA","39-8QA","40-16QA","74-12QA","88-12QA","89-12QA","95-8QA","117-8QA","133-12QA","138-8QA","179-4QA","184-4QA","202-16QA","206-12QA","210-8QA","215-8QA","219-16QA","223-4QA","228-16QA","233-12QA","247-16QA","261-16QA","269-12QA","278-16QA","18-16QR","20-12QR","21-8QR","44-8QR","54-12QR","63-8QR","94-16QR","96-8QR","109-15QR","129-16QR","132-12QR","134-8QR","135-4QR","140-12QR","144-4QR","154-16QR","165-QR","172-12QR","180-12QR","181-8QR","182-12QR","183-8QR","187-12QR","194-12QR","205-8QR","207-4QR","213-12QR","217-12QR","227-11QR","229-4QR","236-12QR","237-8QR","238-8QR","239-4QR","240-12QR","241-4QR","245-8QR","273-8QR","276-4QR","277-12QR","46-8QV","53-16QV","62-8QV","65-8QV","178-8QV","230-16QV","248-4QV","274-8QV","125-12QP","22-12QM","23-8QM","79-8QM","36-16QMu","77-","92-","118-","224-","235-"
"1832",NA,NA,NA,0.646,NA,NA,NA,NA,NA,NA,NA,0.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.438,1.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.667,NA
"1833",NA,NA,NA,0.877,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.424,0.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.764,1.327
"1834",NA,NA,NA,1.519,NA,NA,NA,NA,NA,NA,NA,0.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.373,0.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.792,1.289
"1835",NA,NA,NA,0.947,NA,NA,NA,NA,NA,NA,NA,0.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376,0.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.045,1.311
"1836",NA,NA,NA,1.041,NA,NA,NA,NA,NA,NA,NA,0.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221,0.659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.104,1.122
"1837",NA,NA,NA,1.103,NA,NA,NA,NA,NA,NA,NA,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,NA,NA,NA,1.234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.322,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.375,1.219
"1838",NA,NA,NA,1.142,NA,NA,NA,NA,NA,NA,NA,0.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.284,NA,NA,NA,0.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572,0.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.668,0.964
"1839",NA,NA,NA,1.235,NA,NA,NA,NA,NA,NA,NA,0.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.155,NA,NA,NA,0.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.332,0.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.026,0.967
"1840",NA,NA,NA,1.283,NA,NA,NA,NA,NA,NA,NA,0.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.081,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.275,0.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.298,0.733
"1841",NA,NA,NA,1.352,NA,NA,NA,NA,NA,NA,NA,0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.025,NA,NA,NA,0.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.324,0.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.728,0.975
"1842",NA,NA,NA,1.629,NA,NA,NA,NA,NA,NA,NA,0.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.964,NA,NA,NA,0.584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.478,0.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.606,1.027
"1843",NA,NA,NA,1.193,NA,NA,NA,NA,NA,NA,NA,0.174,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.877,NA,NA,NA,0.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.815,0.822
"1844",NA,NA,NA,1.162,NA,NA,NA,NA,NA,NA,NA,0.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.795,NA,NA,NA,0.493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.524,0.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.404,NA,NA,NA,NA,NA,NA,NA,1.525,0.603
"1845",NA,NA,NA,0.706,NA,NA,0.904,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.875,NA,NA,NA,0.968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.524,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.452,NA,NA,NA,NA,NA,NA,NA,1.667,0.598
"1846",NA,NA,NA,0.685,NA,NA,1.017,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.741,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.696,1.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.386,NA,NA,NA,NA,NA,NA,NA,1.946,0.595
"1847",NA,NA,NA,0.686,NA,NA,1.047,NA,NA,NA,NA,0.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.393,NA,NA,NA,0.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,0.487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.287,NA,NA,NA,NA,NA,NA,NA,2.224,0.8
"1848",NA,NA,NA,1.021,NA,NA,1.075,NA,NA,NA,NA,0.24,NA,NA,NA,NA,NA,1.36,NA,NA,NA,2.2,NA,NA,NA,0.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748,0.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316,NA,NA,NA,NA,NA,NA,NA,1.709,0.725
"1849",NA,NA,NA,1.243,NA,NA,0.399,NA,NA,NA,NA,0.159,NA,NA,NA,NA,NA,1.015,NA,NA,NA,1.697,NA,NA,NA,0.518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836,0.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304,NA,NA,NA,NA,NA,NA,NA,1.977,0.692
"1850",NA,NA,NA,1.356,NA,NA,0.523,NA,NA,NA,NA,0.141,NA,NA,NA,NA,NA,1.189,NA,NA,NA,1.53,NA,NA,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502,0.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,NA,NA,NA,NA,NA,NA,1.641,0.919
"1851",NA,NA,NA,1.533,NA,NA,0.893,NA,NA,NA,NA,0.202,NA,NA,NA,NA,NA,0.869,NA,NA,NA,1.577,NA,NA,NA,0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427,0.654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254,NA,NA,NA,NA,NA,NA,NA,1.643,1.113
"1852",NA,NA,NA,0.924,NA,NA,2.18,NA,NA,NA,NA,0.236,NA,NA,NA,NA,NA,0.967,NA,NA,NA,1.444,NA,NA,NA,0.537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.389,0.953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,2.235,0.79
"1853",NA,NA,NA,0.648,NA,NA,0.688,NA,NA,NA,NA,0.273,NA,NA,NA,NA,NA,0.825,NA,NA,NA,1.66,NA,NA,NA,0.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536,1.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.884,NA,NA,0.388,NA,NA,NA,NA,NA,NA,NA,2.142,0.84
"1854",NA,NA,NA,1.024,NA,NA,1.374,NA,NA,NA,NA,0.183,NA,NA,NA,NA,NA,0.729,NA,NA,NA,1.744,NA,NA,NA,0.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.389,0.468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.571,NA,NA,0.331,NA,NA,NA,NA,NA,NA,NA,3.873,0.816
"1855",NA,NA,NA,0.987,NA,NA,1.159,NA,NA,NA,NA,0.199,NA,NA,NA,NA,NA,0.858,NA,NA,NA,1.398,NA,NA,NA,0.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.385,0.528,NA,1.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,NA,0.736,NA,NA,NA,NA,NA,NA,NA,2.213,0.849
"1856",NA,NA,NA,0.819,NA,NA,1.188,NA,NA,NA,NA,0.208,NA,NA,NA,NA,NA,0.852,NA,NA,NA,1.864,NA,NA,NA,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.407,NA,1.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.589,NA,NA,0.573,NA,NA,NA,NA,NA,NA,NA,2.239,0.8
"1857",NA,NA,NA,0.824,NA,NA,0.865,NA,NA,NA,NA,0.189,NA,NA,NA,NA,NA,0.51,NA,NA,NA,0.997,NA,NA,NA,0.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.414,0.473,NA,1.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,0.72,NA,NA,NA,NA,NA,NA,NA,2.247,0.948
"1858",NA,NA,NA,0.592,NA,NA,0.943,NA,NA,NA,NA,0.177,NA,NA,NA,NA,NA,0.653,NA,NA,NA,1.187,NA,NA,NA,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493,0.457,NA,1.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.089,NA,NA,0.624,NA,NA,NA,NA,NA,NA,NA,2.112,0.882
"1859",NA,NA,NA,1.595,NA,NA,1.507,NA,NA,NA,NA,0.142,NA,NA,NA,NA,NA,0.626,NA,NA,NA,1.641,NA,NA,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266,0.397,NA,1.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.111,NA,NA,0.305,NA,NA,NA,NA,NA,NA,NA,1.672,1.35
"1860",NA,NA,NA,1.388,NA,NA,1.856,NA,NA,NA,NA,0.185,NA,NA,NA,NA,NA,0.559,NA,NA,NA,2.045,NA,NA,NA,0.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.242,NA,2.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.951,NA,NA,0.242,NA,NA,NA,NA,NA,NA,NA,1.609,1.356
